email | password
---------------------
tan@gmail.com | $2a$10$3ouZ5O8nRoGGuvDKTt7tk.dbviHaqvcrdV8Ygx9tVDxBjDGxJNt0u
fn@mail.cum | $2a$10$1U9YfxPHwWLyetdEgeVZZuwogi3vKbhJ/clSpMm2i70wYohWBjEiS
tan1106@gmail.com | $2a$10$ykEY2FglFDM7dKt4oYHmqOCdwu/D3zIzrbh7KWdPKo/7rHu9Se./i
tan02@gmail.com | $2a$10$VkH40ouFScde6y54vyrX9e8pQ3h1RKGtGfO1VmmdfIJHuYW/xuuvO
tan03@gmail.com | $2a$10$O42K6s8ph.BJj3rLaENfPuPLs/9YeXz/M59AyRRyNlXS1G9HOFVQi
john.doe@gmail.com | pass123
alice.nguyen@yahoo.com | alice456
mike.smith@hotmail.com | mike789
luna.tran@gmail.com | luna321
kevin.lee@outlook.com | kevin654
sophia.pham@gmail.com | sophia987
david.hoang@yahoo.com | david111
emma.wilson@gmail.com | emma222
ryan.vo@hotmail.com | ryan333
nina.le@gmail.com | nina444
chris.bui@outlook.com | chris555
olivia.do@yahoo.com | olivia666
tan04@gmail.com | $2a$10$zqKCCLhDdi4Gr24scBFZhegwtHdQMX6MBKiP9PSjgsMW87vet40Ci
tan005@gmail.com | $2a$10$APdDe33Jkd0MSCR0bC7G6O6CW8q02e4O5eV5LGQpm07xumJSOO1F2
